scored mountain-days: 1140, changed: 144
name day score_0.1 score_0.5 wet_0.1 wet_0.5 | hours 0.1-0.4 / >=0.5 (whole day, MSM) | max mm/h | day sum mm
北岳           2026-09-21    0.0 ->    0.0  78.2(11/14h M11 確3 湿2) 41.1mm -> 78.2(11/14h M11 確3 湿4) 41.1mm |  2 / 10 | 36.0 | 179.9
仙丈ヶ岳         2026-09-19   49.8 ->   49.8  50.0(7/14h M 湿3) 2.4mm -> 50.0(7/14h M 湿4) 2.4mm |  3 /  3 | 0.9 | 2.6
仙丈ヶ岳         2026-09-21    0.0 ->    0.0  85.4(12/14h M11 確3 湿4) 42.7mm -> 85.4(12/14h M11 確3 湿5) 42.7mm |  1 / 10 | 32.5 | 167.3
入笠山          2026-09-21   40.2 ->   40.2  70.9(9.9/14h M11 確3 湿3) 11.8mm -> 70.9(9.9/14h M11 確3 湿5) 11.8mm |  2 /  8 | 17.8 | 75.6
蓼科山          2026-09-19   56.8 ->   56.8  50.0(7/14h M 湿2) 2.5mm -> 50.0(7/14h M 湿3) 2.5mm |  4 /  4 | 0.7 | 3.1
蓼科山          2026-09-21    0.0 ->    0.0  92.3(12.9/14h M11 確3 湿4) 58.4mm -> 92.3(12.9/14h M11 確3 湿5) 58.4mm |  1 / 11 | 24.6 | 138.4
金峰山          2026-09-21    0.0 ->    0.0  91.2(12.8/14h M11 確3 湿3) 57.0mm -> 91.2(12.8/14h M11 確3 湿5) 57.0mm |  2 / 11 | 21.6 | 159.6
瑞牆山          2026-09-21    0.0 ->    0.0  92.1(12.9/14h M11 確3 湿3) 75.5mm -> 92.1(12.9/14h M11 確3 湿4) 75.5mm |  1 / 12 | 22.8 | 179.3
赤城山(黒檜山)     2026-09-19   37.9 ->   37.9  78.6(11/14h M 湿8) 1.9mm -> 78.6(11/14h M 湿9) 1.9mm |  3 /  4 | 1.2 | 4.2
赤城山(黒檜山)     2026-09-20    0.0 ->    0.0  100.0(14/14h M) 33.6mm -> 92.9(13/14h M 湿1) 33.6mm |  6 / 17 | 5.7 | 52.0
赤城山(黒檜山)     2026-09-21    0.0 ->    0.0  94.9(13.3/14h M11 確3 湿4) 33.5mm -> 94.9(13.3/14h M11 確3 湿6) 33.5mm |  2 / 10 | 17.6 | 90.3
榛名山(掃部ヶ岳)    2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿11) 1.6mm -> 100.0(14/14h M 湿12) 1.6mm |  4 /  2 | 0.9 | 2.0
榛名山(掃部ヶ岳)    2026-09-21    0.0 ->    0.0  62.4(8.7/14h M11 確3) 62.4mm -> 55.2(7.7/14h M11 確3) 62.4mm |  1 / 11 | 23.7 | 136.2
妙義山(相馬岳)     2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿11) 1.2mm -> 100.0(14/14h M 湿12) 1.2mm |  4 /  2 | 0.5 | 2.0
妙義山(相馬岳)     2026-09-21    0.0 ->    0.0  62.7(8.8/14h M11 確3) 54.3mm -> 55.6(7.8/14h M11 確3) 54.3mm |  1 / 11 | 26.1 | 143.9
木曽御嶽山        2026-09-18   54.6 ->   54.6  28.6(4/14h M 湿3) 0.1mm -> 28.6(4/14h M 湿4) 0.1mm |  1 /  0 | 0.1 | 0.1
日光白根山        2026-09-19   47.1 ->   47.1  64.3(9/14h M 湿7) 0.8mm -> 64.3(9/14h M 湿8) 0.8mm |  2 /  3 | 1.0 | 2.9
日光白根山        2026-09-20    0.0 ->    0.0  100.0(14/14h M) 20.9mm -> 78.6(11/14h M 湿1) 20.9mm |  5 / 15 | 3.7 | 36.1
日光白根山        2026-09-21    0.0 ->    0.0  94.9(13.3/14h M11 確3) 114.5mm -> 94.9(13.3/14h M11 確3 湿2) 114.5mm |  2 / 14 | 29.0 | 196.8
筑波山(女体山)     2026-09-21    0.0 ->    0.0  73.1(10.2/14h M11 確3) 104.2mm -> 65.9(9.2/14h M11 確3) 104.2mm |  1 / 12 | 26.9 | 219.4
大菩薩嶺         2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿9) 2.3mm -> 100.0(14/14h M 湿12) 2.3mm |  5 /  3 | 1.1 | 3.2
大菩薩嶺         2026-09-21    0.0 ->    0.0  69.8(9.8/14h M11 確3 湿1) 58.1mm -> 69.8(9.8/14h M11 確3 湿3) 58.1mm |  2 / 10 | 33.8 | 209.1
浅間山(前掛山)     2026-09-19   42.5 ->   42.5  71.4(10/14h M 湿7) 0.4mm -> 71.4(10/14h M 湿10) 0.4mm |  6 /  0 | 0.2 | 0.8
浅間山(前掛山)     2026-09-20    0.0 ->    0.0  100.0(14/14h M) 30.1mm -> 100.0(14/14h M 湿1) 30.1mm |  1 / 19 | 5.6 | 47.9
浅間山(前掛山)     2026-09-21    0.0 ->    0.0  98.1(13.7/14h M11 確3 湿3) 44.5mm -> 98.1(13.7/14h M11 確3 湿5) 44.5mm |  2 / 11 | 23.9 | 119.2
男体山          2026-09-19   37.6 ->   37.6  78.6(11/14h M 湿9) 0.6mm -> 78.6(11/14h M 湿11) 0.6mm |  4 /  1 | 0.8 | 2.1
男体山          2026-09-20    0.0 ->    0.0  100.0(14/14h M) 28.6mm -> 100.0(14/14h M 湿2) 28.6mm |  7 / 17 | 6.4 | 57.7
男体山          2026-09-21    0.0 ->    0.0  92.9(13/14h M11 確3) 151.3mm -> 92.9(13/14h M11 確3 湿2) 151.3mm |  2 / 14 | 39.2 | 266.6
両神山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿11) 0.8mm -> 100.0(14/14h M 湿14) 0.8mm |  6 /  0 | 0.4 | 1.3
甲武信ヶ岳        2026-09-19   22.9 ->   22.9  71.4(10/14h M 湿5) 1.2mm -> 71.4(10/14h M 湿9) 1.2mm |  6 /  1 | 0.5 | 1.8
甲武信ヶ岳        2026-09-21    0.0 ->    0.0  92.4(12.9/14h M11 確3 湿3) 93.0mm -> 92.4(12.9/14h M11 確3 湿4) 93.0mm |  1 / 12 | 30.8 | 236.3
